user_id;tracked_at;latitude;longitude;elevation;accuracy
1;2012-12-18T21:30:35Z;47.3766094;8.5484732;0;20
1;2012-12-18T21:29:34Z;47.376813;8.5475402;0;36
1;2012-12-18T21:28:34Z;47.3774609;8.5465331;0;38
1;2012-12-18T21:27:34Z;47.3767916;8.5475245;0;40
1;2012-12-18T21:26:34Z;47.377409;8.5479515;0;30
1;2012-12-18T21:23:34Z;47.377057;8.5475096;0;30
1;2012-12-18T21:22:33Z;47.3774609;8.5465331;0;38
1;2012-12-18T21:21:33Z;47.3770371;8.547445;0;30
1;2012-12-18T21:20:33Z;47.3774609;8.5465331;0;38
1;2012-12-18T21:19:33Z;47.3769355;8.5474327;0;30
1;2012-12-18T21:18:33Z;47.3774609;8.5465331;0;38
1;2012-12-18T21:16:32Z;47.3769437;8.5474332;0;30
1;2012-12-18T21:14:33Z;47.3774609;8.5465331;0;38
1;2012-12-18T21:13:33Z;47.3768433;8.5474254;0;33
1;2012-12-18T21:12:33Z;47.3774609;8.5465331;0;38
1;2012-12-18T21:09:33Z;47.3769859;8.5474015;0;30
1;2012-12-18T21:07:33Z;47.3774609;8.5465331;0;38
1;2012-12-18T21:06:33Z;47.3769201;8.5473891;0;30
1;2012-12-18T21:04:33Z;47.3774609;8.5465331;0;38
1;2012-12-18T21:03:08Z;47.3770896;8.5474568;0;30
1;2012-12-18T21:02:08Z;47.3774609;8.5465331;0;38
1;2012-12-18T21:01:08Z;47.3770705;8.5474335;0;30
1;2012-12-18T20:59:08Z;47.3774609;8.5465331;0;38
1;2012-12-18T20:58:08Z;47.3770149;8.5474351;0;30
1;2012-12-18T20:57:06Z;47.3774609;8.5465331;0;38
1;2012-12-18T20:56:06Z;47.3770171;8.5474394;0;30
1;2012-12-18T20:55:06Z;47.3774609;8.5465331;0;38
1;2012-12-18T20:54:06Z;47.3770002;8.5474427;0;30
1;2012-12-18T20:52:06Z;47.3774609;8.5465331;0;38
1;2012-12-18T20:51:06Z;47.3768622;8.5474174;0;30
1;2012-12-18T20:49:06Z;47.3774609;8.5465331;0;38
1;2012-12-18T20:48:06Z;47.3770501;8.5474158;0;30
1;2012-12-18T20:47:06Z;47.3774609;8.5465331;0;38
1;2012-12-18T20:46:05Z;47.3769909;8.5474213;0;30
1;2012-12-18T20:45:05Z;47.3774609;8.5465331;0;38
1;2012-12-18T20:44:05Z;47.3769157;8.5474194;0;30
1;2012-12-18T20:41:05Z;47.3774609;8.5465331;0;38
1;2012-12-18T20:39:05Z;47.3769465;8.5474303;0;30
1;2012-12-18T20:38:05Z;47.3774609;8.5465331;0;38
1;2012-12-18T20:37:05Z;47.3770674;8.5474553;0;30
1;2012-12-18T20:34:05Z;47.3774609;8.5465331;0;38
1;2012-12-18T20:32:05Z;47.3768884;8.5474397;0;30
1;2012-12-18T20:31:05Z;47.3774609;8.5465331;0;38
1;2012-12-18T20:29:05Z;47.3769909;8.5474253;0;40
1;2012-12-18T20:28:05Z;47.3774609;8.5465331;0;38
1;2012-12-18T20:25:05Z;47.3769778;8.5474359;0;30
1;2012-12-18T20:24:04Z;47.3774609;8.5465331;0;38
1;2012-12-18T20:22:05Z;47.3769755;8.5474134;0;30
1;2012-12-18T20:21:04Z;47.3774609;8.5465331;0;38
1;2012-12-18T20:20:04Z;47.3769918;8.5474245;0;30
1;2012-12-18T20:19:04Z;47.3774609;8.5465331;0;38
1;2012-12-18T20:18:04Z;47.3769699;8.5473942;0;30
1;2012-12-18T20:17:04Z;47.3774609;8.5465331;0;38
1;2012-12-18T20:16:04Z;47.3770289;8.5474441;0;30
1;2012-12-18T20:15:03Z;47.3774609;8.5465331;0;38
1;2012-12-18T20:14:02Z;47.3768687;8.5474219;0;30
1;2012-12-18T20:13:02Z;47.3774609;8.5465331;0;38
1;2012-12-18T20:12:02Z;47.3770205;8.5474474;0;30
1;2012-12-18T20:11:02Z;47.3774609;8.5465331;0;38
1;2012-12-18T20:10:01Z;47.3769412;8.5474184;0;30
1;2012-12-18T20:09:01Z;47.3774609;8.5465331;0;38
1;2012-12-18T20:08:00Z;47.3769723;8.5474305;0;30
1;2012-12-18T20:06:00Z;47.3774609;8.5465331;0;38
1;2012-12-18T20:05:00Z;47.3770558;8.5474388;0;45
1;2012-12-18T20:04:00Z;47.3774609;8.5465331;0;38
1;2012-12-18T20:03:00Z;47.3769519;8.5474193;0;30
1;2012-12-18T20:02:00Z;47.3774609;8.5465331;0;38
1;2012-12-18T20:00:00Z;47.3769277;8.5474595;0;30
