user_id;longitude;latitude;accuracy;tracked_at
0;6.9710003;47.0104576;32.0;2019-01-25 20:03:43.000000000
0;6.9706592999999994;47.010330700000004;32.0;2019-01-25 20:03:44.000000000
0;6.970242900000001;47.0101931;32.0;2019-01-25 20:03:45.000000000
0;6.969819;47.010035200000004;32.0;2019-01-25 20:03:46.000000000
0;6.9694669000000005;47.0099284;32.0;2019-01-25 20:03:47.000000000
0;6.968995;47.0097805;32.0;2019-01-25 20:03:48.000000000
0;6.9685779000000005;47.009606299999994;24.0;2019-01-25 20:03:49.000000000
0;6.968159599999999;47.009428799999995;24.0;2019-01-25 20:03:50.000000000
0;6.96775;47.00926389999999;16.0;2019-01-25 20:03:51.000000000
0;6.967355900000001;47.0090857;16.0;2019-01-25 20:03:52.000000000
0;6.966985;47.00904439999999;16.0;2019-01-25 20:03:53.000000000
0;6.9666065999999995;47.0088714;24.0;2019-01-25 20:03:54.000000000
0;6.966220799999999;47.008699;24.0;2019-01-25 20:03:55.000000000
0;6.965828;47.0085327;24.0;2019-01-25 20:03:56.000000000
0;6.965378299999999;47.008416600000004;24.0;2019-01-25 20:03:57.000000000
0;6.964953200000001;47.0082528;24.0;2019-01-25 20:03:58.000000000
0;6.9645713;47.00808;24.0;2019-01-25 20:03:59.000000000
0;6.9641784;47.0079141;32.0;2019-01-25 20:04:00.000000000
0;6.9638577999999995;47.0077445;32.0;2019-01-25 20:04:01.000000000
0;6.9634945;47.007524100000005;32.0;2019-01-25 20:04:02.000000000
0;6.9630948;47.0073571;32.0;2019-01-25 20:04:03.000000000
0;6.9626946;47.0071691;24.0;2019-01-25 20:04:04.000000000
0;6.9623868;47.006938500000004;24.0;2019-01-25 20:04:05.000000000
0;6.9620804000000005;47.0071289;24.0;2019-01-25 20:04:06.000000000
0;6.961725500000001;47.0070152;24.0;2019-01-25 20:04:07.000000000
0;6.961359799999999;47.006991;24.0;2019-01-25 20:04:08.000000000
0;6.9610322;47.0068024;24.0;2019-01-25 20:04:09.000000000
0;6.9607121;47.0066387;24.0;2019-01-25 20:04:10.000000000
0;6.9603677;47.0064686;24.0;2019-01-25 20:04:11.000000000
0;6.960137400000001;47.0063789;16.0;2019-01-25 20:04:12.000000000
0;6.959733099999999;47.0061097;16.0;2019-01-25 20:04:13.000000000
0;6.959382300000001;47.0058862;16.0;2019-01-25 20:04:14.000000000
0;6.9591339;47.00577;16.0;2019-01-25 20:04:15.000000000
0;6.958854;47.005652399999995;16.0;2019-01-25 20:04:16.000000000
0;6.9585585000000005;47.0055225;16.0;2019-01-25 20:04:17.000000000
0;6.9582527999999995;47.005437799999996;16.0;2019-01-25 20:04:18.000000000
0;6.957969800000001;47.005247499999996;24.0;2019-01-25 20:04:19.000000000
0;6.957694;47.0050346;24.0;2019-01-25 20:04:20.000000000
0;6.9574511;47.0048881;24.0;2019-01-25 20:04:21.000000000
0;6.9571958;47.0046681;24.0;2019-01-25 20:04:22.000000000
